ticker,name,sector,grade,score,nature,price,drop,bounce,roe,fwd_pe,quality,analyst_rec,analyst_upside,insider_signal,rsi,shares,amount,stop_loss,stop_pct,target_1,target_2,target_3,risk_reward,reasons,warnings
PODD,Insulet Corporation,Healthcare,STRONG BUY,76.77379966666666,TEMPORARY,151.50999450683594,-0.41291126358402913,0.06375063047095592,0.22997999,18.7,75.09519866666666,strong_buy,0.6090199326777112,BUYING,48.842143064720716,33,4999.83,143.93,-0.050000000000000114,200.25,229.16,246.51,10.3,Bounce +6.4% | Insider BUYING (3 buys) | Analyst: strong_buy (23) | Upside to target: +61%,
RMD,ResMed Inc.,Healthcare,STRONG BUY,70.76593333333334,MOSTLY_TEMPORARY,193.13999938964844,-0.2964086981105415,0.056448920533778826,0.25246,15.8,91.06373333333335,buy,0.40105622864243573,SELLING,38.73542148089935,25,4828.5,179.45,-0.07087451361503184,228.66,251.58,265.34,4.3,Quality 91/100 (top tier) | Bounce +5.6% | Analyst: buy (15) | Upside to target: +40%,Insider selling (11 sells)
TPL,Texas Pacific Land Corporation,Energy,STRONG BUY,77.9422,TEMPORARY,396.1400146484375,-0.2649998295663727,0.07579502710099757,0.36466,5.4,99.7688,hold,0.12334023325087094,BUYING,53.79043859546854,12,4753.68,364.69,-0.07940306088107786,453.6,496.28,521.89,3.2,Quality 100/100 (top tier) | Fwd PE 5.4 (cheap) | Bounce +7.6% | Insider BUYING (14 buys),
BSX,Boston Scientific Corporation,Healthcare,STRONG BUY,77.7745,TEMPORARY,48.70000076293945,-0.36629796057394887,0.021392626913489098,0.14661,13.1,71.098,strong_buy,0.6050650924024639,BUYING,23.95384162736144,102,4967.4,46.27,-0.05000000000000003,62.26,69.56,74.26,8.6,Insider BUYING (3 buys) | Analyst: strong_buy (30) | Upside to target: +61% | RSI 24 (oversold),
UHS,"Universal Health Services, Inc.",Healthcare,STRONG BUY,67.781875,TEMPORARY,142.8699951171875,-0.3922020517882472,0.0022447706669883626,0.21369,5.6,67.1275,buy,0.5266861482466577,SELLING,15.408782523403005,34,4857.58,135.73,-0.05000000000000004,188.81,211.93,225.81,9.7,Fwd PE 5.6 (cheap) | Analyst: buy (17) | Upside to target: +53% | RSI 15 (oversold),Insider selling (1 sells)
MKC,"McCormick & Company, Incorporat",Consumer Defensive,BUY,52.463725,TEMPORARY,47.61000061035156,-0.32959696994243226,0.04407899569056312,0.25347,14.3,69.8549,buy,0.2877061541692922,SELLING,55.796186948659916,105,4999.05,45.23,-0.05000000000000006,58.31,64.66,68.48,7.2,Analyst: buy (13),Insider selling (2 sells)
ROL,"Rollins, Inc.",Consumer Cyclical,BUY,50.213625,TEMPORARY,46.58000183105469,-0.2853554696754462,0.0341918491168688,0.38671002,33.4,80.8545,buy,0.351170030055818,SELLING,19.186476464502206,107,4984.06,44.25,-0.05000000000000003,55.11,60.14,63.17,5.8,Quality 81/100 (top tier) | Analyst: buy (16) | Upside to target: +35% | RSI 19 (oversold),Fwd PE 33.4 (expensive) | Insider selling (1 sells) | 고PER(33x) × 금리 페널티 -8점 | 매크로 환경 페널티 -8점 적용
AOS,A.O. Smith Corporation,Industrials,BUY,50.01890808333333,MOSTLY_TEMPORARY,57.33000183105469,-0.28351006513607274,0.027787792859061636,0.28267,13.7,80.07563233333333,hold,0.236858363858364,SELLING,54.32099217647438,87,4987.71,54.46,-0.05000000000000005,67.9,73.96,77.59,5.8,Quality 80/100 (top tier),Insider selling (2 sells)
ALLE,Allegion plc,Industrials,BUY,51.8281,TEMPORARY,127.62999725341797,-0.2862779261411319,0.015758023903654803,0.34179002,13.4,71.3124,buy,0.28496435007443394,SELLING,46.96529776470439,39,4977.57,121.25,-0.050000000000000065,152.24,165.53,173.51,5.9,Analyst: buy (12),Insider selling (2 sells)
CBOE,"Cboe Global Markets, Inc.",Financial Services,BUY,58.168925,TEMPORARY,280.32000732421875,-0.2339581380636121,0.01716321727632245,0.2514,19.0,84.6757,hold,0.17009132420091327,SELLING,13.552250513560423,17,4765.44,266.3,-0.05000000000000008,320.76,343.35,356.9,4.5,Quality 85/100 (top tier) | RSI 14 (oversold),Insider selling (2 sells)
