theme,tier,lifecycle,etf_rsi,etf_5d,etf_volume_ratio,checklist_score,ticker,role,price,return_5d,return_20d,rsi,vol_ratio,total_score,entry_eligible
AI 반도체,S,조정기,68.3,5.67,1.11,5,AMD,대장주,467.51,10.24,34.42,75.2,0.78,7.0,False
AI 반도체,S,조정기,68.3,5.67,1.11,5,NVDA,대장주,215.33,-4.43,3.39,62.5,1.04,4.1,False
AI 반도체,S,조정기,68.3,5.67,1.11,5,AMAT,후발주,432.16,-0.9,3.75,62.2,0.88,3.7,False
클라우드 SaaS,B,태동기,54.4,5.55,1.14,3,CRM,대장주,180.07,3.78,1.07,45.1,1.11,6.6,False
클라우드 SaaS,B,태동기,54.4,5.55,1.14,3,SNOW,후발주,172.2,9.35,22.72,76.6,1.12,6.6,False
클라우드 SaaS,B,태동기,54.4,5.55,1.14,3,MSFT,대장주,418.57,-0.58,-1.21,55.1,0.86,4.0,False
방위산업,B,조정기,65.8,3.73,0.86,2,RTX,대장주,177.01,3.84,2.0,59.8,0.9,7.1,False
방위산업,B,조정기,65.8,3.73,0.86,2,LMT,대장주,533.24,3.34,3.85,60.6,0.9,6.5,False
방위산업,B,조정기,65.8,3.73,0.86,2,GD,후발주,342.89,2.51,9.48,41.8,0.55,5.7,False
원자력 에너지,C,소멸,37.3,0.9,0.94,1,CEG,대장주,294.07,10.06,-6.06,36.6,1.0,7.4,False
원자력 에너지,C,소멸,37.3,0.9,0.94,1,VST,대장주,156.27,11.88,-4.92,45.9,1.13,6.9,False
원자력 에너지,C,소멸,37.3,0.9,0.94,1,UEC,후발주,13.02,-4.62,-7.33,40.4,1.1,2.5,False
사이버보안,S,과열기,87.1,7.11,1.3,7,PANW,대장주,260.58,7.31,45.95,91.0,1.05,8.1,False
사이버보안,S,과열기,87.1,7.11,1.3,7,CRWD,대장주,663.46,11.68,48.05,94.4,1.25,8.0,False
사이버보안,S,과열기,87.1,7.11,1.3,7,FTNT,후발주,133.93,9.08,58.8,95.7,0.92,7.4,False
바이오헬스케어,C,소멸,46.5,0.74,1.04,1,LLY,대장주,1065.0,5.98,20.69,70.9,0.87,7.6,False
바이오헬스케어,C,소멸,46.5,0.74,1.04,1,REGN,대장주,638.88,-8.37,-14.87,30.9,1.53,3.6,False
바이오헬스케어,C,소멸,46.5,0.74,1.04,1,MRNA,후발주,46.88,-4.4,-7.59,49.0,0.6,2.5,False
로봇 자동화,S,조정기,66.1,2.72,1.6,6,TER,대장주,358.44,6.13,-14.23,55.9,0.8,5.9,False
로봇 자동화,S,조정기,66.1,2.72,1.6,6,ISRG,대장주,438.1,4.03,-9.15,42.8,0.98,5.1,False
에너지 원유,C,소멸,50.4,0.08,1.17,1,SLB,후발주,57.28,3.43,2.01,58.5,1.06,6.4,False
에너지 원유,C,소멸,50.4,0.08,1.17,1,CVX,대장주,191.43,1.09,4.31,51.3,1.04,5.0,False
에너지 원유,C,소멸,50.4,0.08,1.17,1,XOM,대장주,154.92,-1.9,4.74,53.0,1.03,3.4,False
금융,C,소멸,54.0,1.64,1.01,1,GS,대장주,996.73,5.09,7.53,73.7,1.13,7.3,False
금융,C,소멸,54.0,1.64,1.01,1,BAC,후발주,51.8,4.08,-0.48,47.5,1.1,5.9,False
금융,C,소멸,54.0,1.64,1.01,1,JPM,대장주,306.38,2.88,-0.62,48.8,0.97,5.8,False
금 귀금속,C,소멸,49.0,-2.67,0.9,1,GOLD,대장주,43.4,12.63,-7.21,53.4,0.79,7.5,False
금 귀금속,C,소멸,49.0,-2.67,0.9,1,NEM,대장주,107.64,-1.3,-10.82,49.1,1.01,4.0,False
금 귀금속,C,소멸,49.0,-2.67,0.9,1,AG,후발주,19.45,-4.66,-5.31,50.4,0.87,3.1,False
